,covid,pcr,fiebre,perdida_olfato,antigenos
-10,-0.5403118242929863,-0.5561771565797231,0.04181711712029329,-0.10016641931968377,-0.33789635021086417
-9,-0.5029498654875253,-0.5271995786074396,0.0685070340265024,-0.1747234325583555,-0.2804688200522062
-8,-0.4007641088008072,-0.42834457005954424,0.2061183621029875,-0.13924220495675488,-0.184247661786099
-7,-0.28679827393462487,-0.3201911558184096,0.33137851980938954,0.026464223727805943,-0.10213079720667213
-6,-0.26061924072756737,-0.27850522278484774,0.47022367324234793,0.09620790817354818,-0.0241834704339344
-5,-0.2863728322860318,-0.26028063824779823,0.5435731067601232,0.09759701843049585,-0.01180390543943214
-4,-0.28000514816302446,-0.21885210001273958,0.4990110102911028,0.14654813475692482,0.04031094352873326
-3,-0.23641022662866842,-0.16816707674194492,0.4574185600936102,0.11546706529346375,0.12192687702339562
-2,-0.16475140338972336,-0.10015272603512912,0.5152375663463241,0.05071336830089958,0.21138991524425635
-1,-0.015581166413104593,0.03243442232448572,0.6411271863212215,0.16103234023640495,0.33764056024535016
0,0.1749860192656307,0.18179872128771657,0.7218577653703911,0.21866665115680034,0.4380065507706367
1,0.1807379678392825,0.19062946403591963,0.815686634875427,0.3014170196108575,0.4419435595844831
2,0.14327170538671163,0.17864000227681875,0.8061778250331645,0.2960252826912571,0.40683404186405986
3,0.09775687333885925,0.1761044177502702,0.7438597319198718,0.34210664238726596,0.4275447685727171
4,0.09720790607179675,0.19757198140717722,0.6666982829822306,0.28975741406287436,0.4844786026372712
5,0.1919037884519845,0.26893695657673594,0.6723941314836857,0.27912147754751465,0.5522997365083793
6,0.3701261534280562,0.4078781966836349,0.7676075148642976,0.3981942703931462,0.6404955161455188
7,0.5125714055941316,0.5403673022236973,0.804384150741564,0.3635266579194499,0.7196945363079733
8,0.49261231015332135,0.5156294725640256,0.8469479014202413,0.37474170833026577,0.6600765051412085
9,0.39981425754264405,0.43533407440146366,0.7969195408444947,0.35744302917225607,0.5636659816951536
10,0.3245849176156604,0.42876288489056835,0.6779871160591822,0.3696921784882603,0.5688416766004518
11,0.314840853231602,0.43006738975736597,0.579056474128136,0.4180718194719209,0.5958998250638189
12,0.38661292276854625,0.4785520608860837,0.542694782638493,0.22480541689288752,0.6336421784796303
13,0.5527921155331434,0.6008510041442153,0.6091781764649178,0.31282437628029963,0.6509413829650921
14,0.645466804756645,0.6822918739103695,0.6275930012666809,0.36774215416730655,0.6849110059265391
15,0.5540347568607032,0.62684004112622,0.6054909025248553,0.14490445597607418,0.5936089516679426
16,0.369324013361186,0.48037143478935995,0.5048039240544313,0.2243201529890423,0.43165801696049705
17,0.28709568938534386,0.4271420222627621,0.4042584683114351,0.4059447479388513,0.40892631999741325
18,0.3299103253598323,0.4334396511334086,0.23303166818369797,0.2883328591258906,0.44149359058821047
19,0.3399562944402459,0.40785581845612345,0.19744196179733853,0.06744612005368551,0.4079847768265214
20,0.4738849163542828,0.5008894007947202,0.25214834800609737,0.1130214908248766,0.4619893451647797
21,0.5611256787201445,0.5872671779188681,0.20960444751661567,0.1120657907262385,0.4747693016315238
22,0.3775465096122533,0.4341062343428943,0.12427617967481248,-0.05664014204821011,0.30393994858038714
23,0.23841106005550927,0.25164875481602333,0.02783444303269862,-0.0738122882295593,0.12864391817834514
24,0.13927320241489488,0.15113012709677182,-0.09825857604071676,0.11333669103466774,0.10188918633035993
