,covid,pcr,fiebre,perdida_olfato,antigenos,mean
-10,-0.6425273997050507,-0.6700338692971735,-0.023697237310938122,-0.1500702989508658,-0.45799472766542154,-0.3888647065858899
-9,-0.6161877989368969,-0.6437879592665099,0.01674158382424959,-0.1268150629654958,-0.4073231077324739,-0.3554744690154254
-8,-0.5899877486847805,-0.611569123551205,0.06909229819713436,-0.13975247737487406,-0.35432299657071603,-0.3253080095968882
-7,-0.5466013331825924,-0.5643553450168973,0.14219391922516478,-0.14567082296756528,-0.29244380594980346,-0.2813754775783387
-6,-0.5081182361200114,-0.5034567605448,0.22147443620830815,-0.09826607696834998,-0.226718830476331,-0.2230170935802369
-5,-0.47591707887737783,-0.4532862257098541,0.31137661288766927,-0.0647723213181057,-0.16320477532184452,-0.16916075766790256
-4,-0.4405053686504099,-0.4054416571929344,0.393876552045981,-0.0015157991188837604,-0.10991464629964307,-0.11270018384317804
-3,-0.4036931955655865,-0.35931700372261455,0.44617616793943754,0.04698276902146429,-0.05611749080703736,-0.0651937506268673
-2,-0.3668772557567081,-0.31534174976277174,0.4829644596251581,0.0777920310019844,0.0037927530029995497,-0.023533952377867567
-1,-0.3205010445747798,-0.2695232523318728,0.5248531837670048,0.07030205623962478,0.07126349188514938,0.015278886997025284
0,-0.23108061958130344,-0.19883681685186566,0.5855276005966495,0.09837972230052694,0.15512503854344778,0.08182298500149103
1,-0.14958717103240549,-0.12101102830156443,0.6401062875922564,0.13173848957471934,0.22654434572841994,0.14555818471228515
2,-0.081528835717516,-0.05559140973743698,0.7108582513138993,0.175153064479855,0.28561709737786195,0.20690163354333263
3,-0.03418722637805551,-0.004760868558458225,0.7641238618419365,0.20975971961009662,0.32634827313819975,0.2522567519307438
4,-0.005897276367565857,0.03644810929663586,0.7939118399288987,0.247990278459297,0.36521649437723597,0.2875338891389003
5,0.016966755876564786,0.07490186960911745,0.7985509833377588,0.2707601082737683,0.40966361190348904,0.3141686658001397
6,0.05732153882575951,0.12261913703767,0.8060100459904372,0.2848220517080629,0.4626895361073089,0.34669246193384773
7,0.13135497678523267,0.1937193412003382,0.8337587091593522,0.32378242984323036,0.5259625258764739,0.40171559657292544
8,0.22503810910721023,0.2824217795276806,0.8657559638750669,0.34751372450707557,0.5963633721615147,0.4634185898357096
9,0.2974579265284695,0.35033628189632904,0.903304659303014,0.37303656901109555,0.6409559852885287,0.5130182844054874
10,0.3360977810038303,0.38812841680905613,0.9257515653366362,0.3878864257033276,0.6566643850222178,0.5389057147750136
11,0.3528077337384866,0.4196549473500975,0.9174476247626453,0.40535166862742195,0.6718428707043819,0.5534209690366066
12,0.3642359612996767,0.44697985261203044,0.8911932375903451,0.4325031365541699,0.6925525472725428,0.565492947065753
13,0.39052086359195815,0.4805388169153574,0.8622582247309434,0.4097473334153793,0.7199259983088501,0.5725982473924977
14,0.45297488034564865,0.5391598018473721,0.8561647881788655,0.41085724179361116,0.7482808459502254,0.6014875116231445
15,0.5279165667352353,0.6091690954186941,0.8594530965316587,0.42613755036250067,0.7826209284414154,0.6410594474979008
16,0.5704842138872072,0.6566719598969333,0.8715819103431037,0.39145712474684025,0.7928167064606665,0.6566023830669502
17,0.5632174857899449,0.6627879126221854,0.8538816541758604,0.37801661028676153,0.7651795827373121,0.6446166491224129
18,0.5381922489088092,0.6580190742839096,0.8260368814866081,0.4245158671635117,0.7403913462536532,0.6374310836192983
19,0.5290159236863624,0.6572453015720547,0.7646733637962138,0.43288567020499885,0.7320743509426971,0.6231789220404653
20,0.5274601913308586,0.6528291263734683,0.6972239375746095,0.3802687686405715,0.7214339130842018,0.595843187400742
21,0.5675154323031737,0.6773549108406771,0.6596588689506258,0.3364701648614434,0.7450375387542776,0.5972073831420395
22,0.6320935305318507,0.7302724366849338,0.6311511862274017,0.30330340467618533,0.7659717799552004,0.6125584676151143
23,0.6484155175901769,0.74513986717263,0.6088264241254291,0.2593042365545145,0.7518901795434826,0.6027152449972466
24,0.6280906820089179,0.7122691535453338,0.5792226539054001,0.22941712460293404,0.6961529898883599,0.5690305207901891
25,0.5738223798798869,0.6474937247769026,0.5199004380702101,0.24205718331750412,0.6385195296963881,0.5243586511481784
26,0.5195890207286611,0.5649839318757581,0.38486178512558533,0.22383547762691178,0.5668246992578387,0.452018982922951
27,0.4618760114918742,0.4669399547881199,0.257154826082692,0.11257193423959762,0.4842428653934796,0.35655711839915266
28,0.41944787435380454,0.39784334930487003,0.1899375680345661,0.10637045834443366,0.41984884556164204,0.30668961911986325
29,0.40824252430658686,0.3610573495551181,0.1160799315347752,0.021224743689632192,0.36380252452771383,0.25408141472276524
30,0.3242328533701644,0.27838508400952544,0.05625019679608428,-0.04511011114486132,0.24869223911875904,0.17249005242993437
31,0.16644270130152472,0.1123110170665357,-0.05066445804288919,-0.11030043356708343,0.05947968297643302,0.035453701946904156
32,-0.010524243484932059,-0.09064031264559846,-0.19398824361393366,-0.07881562267920081,-0.13579546610355306,-0.10195277770544361
33,-0.19100680695348887,-0.2957507287424697,-0.3681925398228861,-0.12598881012118485,-0.3006113383093086,-0.2563100447898676
34,-0.36399462874797106,-0.4417101001051112,-0.4630283098472979,-0.25511008974464505,-0.3816279666021721,-0.38109421900943946
35,-0.39951882825369733,-0.5107160320823718,-0.4821215538017668,-0.29981479603001054,-0.4404025837232776,-0.42651475877822487
36,-0.37757327297843296,-0.5349998969042862,-0.5432294163252784,-0.3684246731432864,-0.49364275733262303,-0.46357400333678145
